	instance	label_original	label
3	http://purl.org/collections/nl/am/proxy-37104	http://purl.org/collections/nl/am/t-22509	12
7	http://purl.org/collections/nl/am/proxy-70238	http://purl.org/collections/nl/am/t-22503	6
13	http://purl.org/collections/nl/am/proxy-25609	http://purl.org/collections/nl/am/t-15579	3
18	http://purl.org/collections/nl/am/proxy-32545	http://purl.org/collections/nl/am/t-15606	4
23	http://purl.org/collections/nl/am/proxy-53961	http://purl.org/collections/nl/am/t-22503	6
29	http://purl.org/collections/nl/am/proxy-73474	http://purl.org/collections/nl/am/t-22505	8
39	http://purl.org/collections/nl/am/proxy-57200	http://purl.org/collections/nl/am/t-22503	6
41	http://purl.org/collections/nl/am/proxy-6875	http://purl.org/collections/nl/am/t-15606	4
48	http://purl.org/collections/nl/am/proxy-16080	http://purl.org/collections/nl/am/t-32052	16
51	http://purl.org/collections/nl/am/proxy-55344	http://purl.org/collections/nl/am/t-22503	6
55	http://purl.org/collections/nl/am/proxy-5524	http://purl.org/collections/nl/am/t-22508	11
58	http://purl.org/collections/nl/am/proxy-32696	http://purl.org/collections/nl/am/t-15459	1
60	http://purl.org/collections/nl/am/proxy-15795	http://purl.org/collections/nl/am/t-22507	10
67	http://purl.org/collections/nl/am/proxy-19508	http://purl.org/collections/nl/am/t-15579	3
76	http://purl.org/collections/nl/am/proxy-56259	http://purl.org/collections/nl/am/t-22503	6
77	http://purl.org/collections/nl/am/proxy-19646	http://purl.org/collections/nl/am/t-15579	3
80	http://purl.org/collections/nl/am/proxy-23526	http://purl.org/collections/nl/am/t-5504	17
81	http://purl.org/collections/nl/am/proxy-48994	http://purl.org/collections/nl/am/t-22504	7
83	http://purl.org/collections/nl/am/proxy-27919	http://purl.org/collections/nl/am/t-15579	3
88	http://purl.org/collections/nl/am/proxy-25531	http://purl.org/collections/nl/am/t-15579	3
90	http://purl.org/collections/nl/am/proxy-22294	http://purl.org/collections/nl/am/t-28650	14
93	http://purl.org/collections/nl/am/proxy-70941	http://purl.org/collections/nl/am/t-22503	6
100	http://purl.org/collections/nl/am/proxy-177	http://purl.org/collections/nl/am/t-22503	6
